name	offset	segment
_AIL_release_sequence_handle	0x0001057e	1
_AIL_release_timer_handle	0x00010177	1
_AIL_request_fx	0x0001069e	1
_AIL_resume_digital_playback	0x0001053f	1
_AIL_resume_sequence	0x000105d8	1
_AIL_send_channel_voice_message	0x00010644	1
_AIL_send_sysex_message	0x0001064d	1
_AIL_sequence_status	0x000105e1	1
_AIL_set_controller_value	0x00010632	1
_AIL_set_digital_playback_panpot	0x0001055a	1
_AIL_set_digital_playback_volume	0x00010548	1
_AIL_set_relative_tempo	0x00010605	1
_AIL_set_relative_volume	0x000105fc	1
_AIL_set_timer_divisor	0x000102fc	1
_AIL_set_timer_frequency	0x000102dc	1
_AIL_set_timer_period	0x00010294	1
_AIL_shutdown	0x0001007b	1
_AIL_shutdown_driver	0x000104ac	1
_AIL_sound_buffer_status	0x00010500	1
_AIL_start_all_timers	0x0001020e	1
_AIL_start_digital_playback	0x00010524	1
_AIL_start_sequence	0x000105c6	1
_AIL_start_timer	0x000101d7	1
_AIL_startup	0x00010036	1
_AIL_state_table_size	0x0001056c	1
_AIL_stop_all_timers	0x00010262	1
_AIL_stop_digital_playback	0x0001052d	1
_AIL_stop_sequence	0x000105cf	1
_AIL_stop_timer	0x0001022d	1
_AIL_timbre_request	0x00010599	1
_AIL_timbre_status	0x000105bd	1
_AIL_true_sequence_channel	0x0001068c	1
_AIL_unprotect_timbre	0x000105b4	1
_AIL_write_display	0x00010656	1
_ATM_Strings	0x00086d62	1
_ActDoors	0x000798b8	1
_ActiveMob	0x0007cdf8	1
_ActiveObj	0x0007cd8c	1
_Alt	0x000026b7	1
_Alt1	0x000026ba	1
_AnimObjInPipe	0x00081e51	1
_Armor	0x0007f818	1
_Asc	0x000687a4	1
_Back_FPS	0x00063452	1
_Background_color	0x00077d35	1
_BagSaveHandles	0x0007cb68	1
_Blessed	0x000795f5	1
_Bmapseg0	0x0006c098	1
_CN1	0x000796d0	1
_CN2	0x000796a8	1
_CN3	0x00079680	1
_CN4	0x00079658	1
_CP	0x00079654	1
_CT1	0x00079750	1
_CT2	0x00079744	1
_CT3	0x00079738	1
_CT4	0x0007972c	1
_Caps	0x000026bc	1
_ChangedObjects	0x00066652	1
_CmapCache	0x0006a5a3	1
_CmapFrm	0x0006a4a3	1
_CmaptoPg	0x0006a2a3	1
_Color_a_b	0x0006388e	1
_Color_data_ptr	0x00063aa4	1
_ComObjData	0x0007df6a	1
_Containers	0x0007fa58	1
_Creature	0x00080bf0	1
_CrittoCmap	0x0006a223	1
_CrownTmap	0x000795f8	1
_Ctrl	0x000026b8	1
_Ctrl1	0x000026bb	1
_CurDir	0x0007f76a	1
_CursorObjPtr	0x0007cdc0	1
_CutsDirectory	0x000666b2	1
_DataDirectory	0x000666a9	1
_DbEntry	0x0007ce14	1
_DisplayBytes	0x00077d3a	1
_DisplayToSlot	0x00066276	1
_Dither_4x4	0x00063ed0	1
_DoAnimO	0x0006669e	1
_DoMono	0x00065f58	1
_Dropshadow_color	0x00077d30	1
_DurCount	0x0006661c	1
_EmsBuff	0x0007cde4	1
_FL_X	0x00065be0	1
_FillMode	0x000665f2	1
_Fill_type	0x00063678	1
_FontData	0x00097cca	1
_FontInfo	0x00077748	1
_Food	0x0007ddf2	1
_ForceObjWrite	0x00066653	1
_Foreground_color	0x00077d34	1
_ForwInpRate	0x00065bac	1
_FrameBuffer	0x000826d4	1
